Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
affection,False,False,False,False,True,False,True,False,False,True
affiliated,False,False,False,False,False,False,True,False,False,False
affirm,False,False,False,False,False,False,True,False,False,True
affirmation,False,False,False,False,False,False,True,False,False,False
affirmative,False,False,False,False,False,False,True,False,False,False
affirmatively,False,False,False,False,False,False,True,False,False,True
afflict,False,False,False,True,False,True,False,True,False,False
afflicted,False,False,False,False,False,True,False,False,False,False
affliction,False,False,True,True,False,True,False,True,False,False
affluence,False,False,False,False,True,False,True,False,False,False
affluent,False,False,False,False,False,False,True,False,False,False
afford,False,False,False,False,False,False,True,False,False,False
affront,True,False,True,True,False,True,False,True,True,False
afraid,False,False,False,True,False,True,False,False,False,False
aftermath,True,False,True,True,False,True,False,True,False,False
aftertaste,False,False,False,False,False,True,False,False,False,False
aga,False,False,False,True,False,False,True,False,False,True
aggravated,True,False,False,False,False,True,False,False,False,False
aggravating,True,False,False,False,False,True,False,True,False,False
aggravation,True,False,True,False,False,True,False,False,False,False
aggression,True,False,False,True,False,True,False,False,False,False
aggressive,True,False,False,True,False,True,False,False,False,False
aggressor,True,False,False,True,False,True,False,False,False,False
aghast,False,False,True,True,False,True,False,False,True,False
agile,False,False,False,False,False,False,True,False,False,False
agility,False,False,False,False,False,False,True,False,False,False
agitated,True,False,False,False,False,True,False,False,False,False
agitation,True,False,False,False,False,True,False,False,False,False
agonizing,False,False,False,True,False,True,False,False,False,False
agony,True,False,False,True,False,True,False,True,False,False
agree,False,False,False,False,False,False,True,False,False,False
agreeable,False,False,False,False,False,False,True,False,False,True
agreed,False,False,False,False,False,False,True,False,False,True
agreeing,False,False,False,False,False,False,True,False,False,True
agreement,False,False,False,False,False,False,True,False,False,True
agriculture,False,False,False,False,False,False,True,False,False,False
aground,False,False,False,False,False,True,False,False,False,False
ahead,False,False,False,False,False,False,True,False,False,False
aid,False,False,False,False,False,False,True,False,False,False
